date,neutral,rank_home,total_points_home,rank_change_home,rank_away,total_points_away,rank_change_away,winner,home_goals_avg,away_goals_avg,home_win_avg,away_win_avg,home_last_wins,away_last_wins,home_team_encoded,away_team_encoded,confederation_home_encoded,confederation_away_encoded,tournament_encoded
2023-06-16,False,52.0,1433.01,1.0,49.0,1436.31,1.0,0,1.8571428571428572,1.7142857142857142,0.7142857142857143,0.5714285714285714,2,0,73,150,5,5,79
2023-06-16,False,22.0,1558.7,-1.0,100.0,1201.06,-5.0,0,2.0,1.8571428571428572,0.7142857142857143,0.42857142857142855,0,0,174,130,5,4,42
2023-06-16,False,31.0,1511.32,0.0,151.0,1038.13,-1.0,0,1.2857142857142858,1.8571428571428572,0.42857142857142855,0.5714285714285714,0,0,40,54,3,2,42
2023-06-16,True,17.0,1617.08,0.0,67.0,1347.84,-1.0,0,2.2857142857142856,1.8571428571428572,1.0,0.7142857142857143,0,0,42,88,3,0,42
2023-06-16,False,56.0,1405.31,0.0,59.0,1398.47,-3.0,0,0.8571428571428571,1.4285714285714286,0.2857142857142857,0.7142857142857143,1,0,65,164,5,5,79
2023-06-16,False,23.0,1553.76,1.0,14.0,1647.42,0.0,0,1.0,2.142857142857143,0.5714285714285714,0.5714285714285714,1,3,146,70,5,5,42
2023-06-16,True,25.0,1541.52,-4.0,84.0,1293.26,0.0,0,2.142857142857143,2.0,0.7142857142857143,0.8571428571428571,0,0,159,94,5,0,42
2023-06-17,True,193.0,875.05,0.0,195.0,861.18,0.0,0,1.0,0.14285714285714285,0.14285714285714285,0.0,0,0,52,139,1,0,57
2023-06-17,False,74.0,1318.36,-3.0,109.0,1182.24,1.0,0,1.8571428571428572,1.1428571428571428,0.8571428571428571,0.5714285714285714,3,0,194,180,0,0,15
2023-06-17,False,9.0,1707.22,0.0,57.0,1403.04,0.0,0,3.142857142857143,1.4285714285714286,0.7142857142857143,0.7142857142857143,3,0,147,25,5,5,79
2023-06-17,False,91.0,1245.78,-1.0,199.0,855.77,1.0,0,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.0,0,3,108,106,5,5,79
2023-06-17,False,68.0,1344.95,2.0,171.0,972.91,-3.0,0,0.8571428571428571,1.5714285714285714,0.14285714285714285,0.5714285714285714,2,0,1,119,5,5,79
2023-06-17,True,41.0,1478.13,0.0,83.0,1296.42,1.0,0,1.2857142857142858,0.42857142857142855,0.5714285714285714,0.14285714285714285,5,0,55,24,3,3,42
2023-06-17,True,3.0,1834.21,2.0,79.0,1305.92,-4.0,0,2.0,1.0,0.5714285714285714,0.42857142857142855,0,0,27,77,3,1,42
